,Municipio,Date,High Temperature,Avg Temperature,Low Temperature,High Dew Point,Avg Dew Point,Low Dew Point,High Humidity,Avg Humidity,Low Humidity,High Speed,Avg Speed,Low Speed,High Pressure,Low Pressure,Sum
14,Villaviciosa de Odón,4/15/2024,83.8,66.4,50.0,55.9,48.4,43.7,85,57,26,15.9,2.5,0.0,30.05,29.91,0.00
15,Villaviciosa de Odón,4/16/2024,81.0,64.3,47.1,51.4,43.8,36.0,83,51,21,18.3,2.9,0.0,29.99,29.82,0.00
16,Villaviciosa de Odón,4/17/2024,73.2,59.0,46.4,43.7,40.8,37.9,77,53,30,8.9,2.1,0.0,29.91,29.79,0.00
17,Villaviciosa de Odón,4/18/2024,72.7,57.8,41.7,42.4,37.9,34.2,81,50,26,11.2,2.7,0.0,29.95,29.83,0.00
18,Villaviciosa de Odón,4/19/2024,73.8,57.1,42.8,47.5,38.6,29.8,75,51,34,12.8,2.8,0.0,30.02,29.86,0.00
19,Villaviciosa de Odón,4/20/2024,77.2,60.9,45.3,48.6,40.5,26.1,89,54,16,10.7,1.9,0.0,29.90,29.75,0.00
20,Villaviciosa de Odón,4/21/2024,76.5,61.5,47.1,42.1,33.9,28.4,57,37,19,11.2,3.1,0.0,29.88,29.75,0.00
21,Villaviciosa de Odón,4/22/2024,69.3,54.7,40.5,37.9,30.2,21.2,66,40,25,17.4,2.9,0.0,29.95,29.80,0.00
22,Villaviciosa de Odón,4/23/2024,64.9,49.9,33.8,37.8,28.2,22.5,71,45,29,19.7,3.1,0.0,29.97,29.85,0.00
23,Villaviciosa de Odón,4/24/2024,66.7,51.9,33.1,38.7,31.6,26.1,79,48,23,13.6,2.4,0.0,29.99,29.80,0.00
24,Villaviciosa de Odón,4/25/2024,65.8,54.4,40.3,39.2,34.3,29.8,76,49,29,14.5,3.0,0.0,29.81,29.59,0.00
25,Villaviciosa de Odón,4/26/2024,60.8,52.3,40.5,43.2,39.1,35.8,86,62,41,18.1,3.9,0.0,29.64,29.49,0.00
26,Villaviciosa de Odón,4/27/2024,58.3,50.7,44.6,47.5,43.2,37.8,95,77,48,21.5,6.2,0.0,29.64,29.40,0.41
27,Villaviciosa de Odón,4/28/2024,64.0,50.0,34.9,43.3,36.2,31.5,93,64,31,11.2,1.9,0.0,29.81,29.63,0.00
28,Villaviciosa de Odón,4/29/2024,65.1,52.9,38.1,45.0,39.0,34.5,88,62,34,16.8,2.2,0.0,29.96,29.80,0.00
29,Villaviciosa de Odón,4/30/2024,63.7,53.4,39.4,48.6,42.1,37.2,93,68,42,16.8,4.1,0.0,29.96,29.84,0.00
0,Villaviciosa de Odón,3/1/2024,55.4,45.7,37.2,39.2,32.1,24.8,80,60,45,18.3,6.4,0.0,29.89,29.68,0.00
1,Villaviciosa de Odón,3/2/2024,46.9,43.0,37.6,44.4,39.1,30.7,94,86,71,20.4,7.3,0.0,29.68,29.26,0.38
2,Villaviciosa de Odón,3/3/2024,49.3,42.8,36.7,37.2,31.4,27.1,76,65,46,21.5,6.7,0.0,29.76,29.43,0.00
3,Villaviciosa de Odón,3/4/2024,55.4,47.6,42.1,46.9,42.2,35.1,93,82,63,20.4,6.0,0.0,29.89,29.74,0.00
4,Villaviciosa de Odón,3/5/2024,57.4,47.6,36.1,36.9,34.0,29.8,86,61,37,17.9,4.8,0.0,29.98,29.88,0.00
5,Villaviciosa de Odón,3/6/2024,59.0,44.6,30.2,38.8,34.1,27.9,92,69,37,9.4,1.3,0.0,29.95,29.72,0.00
6,Villaviciosa de Odón,3/7/2024,54.9,44.7,37.4,45.3,38.5,32.9,94,80,53,20.6,3.9,0.0,29.73,29.42,0.28
7,Villaviciosa de Odón,3/8/2024,51.4,44.1,39.7,41.9,38.2,34.9,95,81,54,20.4,7.4,0.0,29.49,29.25,0.39
8,Villaviciosa de Odón,3/9/2024,47.5,42.5,38.8,44.6,38.7,35.4,94,87,72,20.4,7.4,0.4,29.26,29.13,0.24
9,Villaviciosa de Odón,3/10/2024,56.8,46.1,39.9,43.3,39.9,36.1,96,81,47,23.3,7.0,0.0,29.64,29.20,0.15
10,Villaviciosa de Odón,3/11/2024,58.1,49.7,42.6,38.1,35.9,32.5,77,60,41,18.6,5.8,0.0,29.93,29.63,0.00
11,Villaviciosa de Odón,3/12/2024,63.0,48.3,34.5,42.1,37.3,32.4,93,69,38,8.1,1.4,0.0,29.96,29.87,0.00
12,Villaviciosa de Odón,3/13/2024,64.8,47.3,37.2,42.4,37.9,33.8,91,73,34,8.7,1.4,0.0,29.88,29.74,0.00
13,Villaviciosa de Odón,3/14/2024,60.8,55.3,41.0,48.0,45.7,37.0,87,71,56,13.9,4.6,0.0,30.01,29.92,0.00
14,Villaviciosa de Odón,3/15/2024,67.5,52.6,38.3,52.3,45.6,36.9,96,79,52,10.1,1.7,0.0,30.11,29.98,0.00
15,Villaviciosa de Odón,3/16/2024,65.8,52.4,38.8,53.4,46.9,37.9,96,83,56,9.6,1.5,0.0,30.18,30.08,0.00
16,Villaviciosa de Odón,3/17/2024,71.1,56.9,43.2,54.1,48.8,41.7,96,77,48,7.4,1.2,0.0,30.12,29.97,0.00
17,Villaviciosa de Odón,3/18/2024,71.2,57.2,44.2,53.8,49.0,42.4,95,76,49,8.5,1.3,0.0,30.01,29.89,0.00
18,Villaviciosa de Odón,3/19/2024,75.0,61.0,47.3,53.6,48.6,42.1,93,67,32,9.8,1.4,0.0,29.92,29.80,0.00
19,Villaviciosa de Odón,3/20/2024,73.2,61.6,48.0,51.3,46.8,43.7,86,61,39,15.7,2.8,0.0,29.88,29.77,0.00
20,Villaviciosa de Odón,3/21/2024,76.3,62.9,54.0,50.9,47.6,45.1,78,59,35,15.0,4.4,0.0,30.04,29.86,0.00
21,Villaviciosa de Odón,3/22/2024,77.7,63.7,52.9,53.8,47.5,41.5,83,59,30,11.2,2.3,0.0,30.04,29.88,0.00
22,Villaviciosa de Odón,3/23/2024,76.1,62.1,50.4,54.7,47.9,42.8,78,61,38,11.6,2.6,0.0,29.98,29.84,0.00
23,Villaviciosa de Odón,3/24/2024,71.4,60.4,50.4,49.3,45.5,41.0,83,60,36,13.2,3.0,0.0,29.90,29.61,0.00
24,Villaviciosa de Odón,3/25/2024,58.8,54.4,49.1,52.2,47.8,37.0,89,79,63,15.2,3.5,0.0,29.61,29.19,0.00
25,Villaviciosa de Odón,3/26/2024,50.4,42.9,37.2,38.7,35.1,28.0,95,75,49,22.1,7.0,0.0,29.30,29.22,0.08
26,Villaviciosa de Odón,3/27/2024,55.4,47.7,38.7,48.6,43.8,36.9,95,87,65,24.6,7.5,0.0,29.38,29.25,0.06
27,Villaviciosa de Odón,3/28/2024,60.3,51.6,43.7,51.4,45.3,40.8,94,80,57,19.5,7.7,0.0,29.49,29.33,0.50
28,Villaviciosa de Odón,3/29/2024,51.1,44.7,38.7,50.0,42.9,36.9,97,93,81,15.4,4.1,0.0,29.40,29.30,0.34
29,Villaviciosa de Odón,3/30/2024,52.5,45.1,38.5,43.7,40.9,37.0,96,86,60,20.1,5.7,0.0,29.38,29.19,0.27
30,Villaviciosa de Odón,3/31/2024,52.0,43.8,40.1,41.5,39.1,36.7,95,84,60,18.6,5.7,0.0,29.55,29.20,0.35
0,Villaviciosa de Odón,2/1/2024,66.6,46.6,32.7,44.4,38.4,31.8,97,77,37,5.1,0.7,0.0,30.31,30.20,0.01
1,Villaviciosa de Odón,2/2/2024,60.4,46.9,34.7,44.8,38.8,32.9,95,76,51,12.8,2.3,0.0,30.22,30.13,0.00
2,Villaviciosa de Odón,2/3/2024,61.5,47.6,37.9,43.2,38.2,33.8,91,72,42,11.9,2.1,0.0,30.22,30.15,0.00
3,Villaviciosa de Odón,2/4/2024,67.6,46.0,32.5,40.1,34.6,29.7,91,69,31,4.9,0.8,0.0,30.21,30.12,0.00
4,Villaviciosa de Odón,2/5/2024,62.2,44.8,32.0,43.3,36.1,29.8,93,75,39,5.8,0.9,0.0,30.17,30.05,0.00
5,Villaviciosa de Odón,2/6/2024,59.9,46.4,35.4,47.7,40.8,33.6,95,82,55,9.2,1.6,0.0,30.07,29.97,0.00
6,Villaviciosa de Odón,2/7/2024,52.7,46.4,37.4,48.0,43.5,35.2,97,90,74,14.3,2.4,0.0,30.02,29.86,0.00
7,Villaviciosa de Odón,2/8/2024,55.4,49.0,46.2,48.0,44.4,35.8,97,85,48,16.8,4.4,0.0,29.87,29.37,0.02
8,Villaviciosa de Odón,2/9/2024,54.0,49.4,46.2,50.2,47.1,43.2,98,92,83,17.4,5.7,0.0,29.38,28.96,0.33
9,Villaviciosa de Odón,2/10/2024,52.3,45.9,41.9,44.4,36.4,30.4,96,70,51,25.7,8.8,0.0,29.52,29.02,0.03
10,Villaviciosa de Odón,2/11/2024,46.2,41.4,36.0,41.0,35.7,29.1,94,81,58,24.2,4.9,0.0,29.66,29.50,0.02
11,Villaviciosa de Odón,2/12/2024,59.9,48.7,41.5,50.4,45.5,39.9,99,89,68,16.3,4.2,0.0,29.89,29.55,0.01
12,Villaviciosa de Odón,2/13/2024,61.7,53.4,46.6,54.5,50.0,45.7,97,89,72,8.7,1.5,0.0,30.02,29.84,0.00
13,Villaviciosa de Odón,2/14/2024,64.2,54.1,44.1,55.0,50.4,43.3,98,88,70,8.5,1.4,0.0,30.03,29.88,0.00
14,Villaviciosa de Odón,2/15/2024,59.4,53.2,49.1,52.0,49.5,46.8,94,88,67,16.3,3.2,0.0,29.89,29.72,0.13
15,Villaviciosa de Odón,2/16/2024,61.3,51.5,39.9,47.3,41.5,36.3,93,70,45,15.9,4.4,0.0,30.09,29.80,0.00
16,Villaviciosa de Odón,2/17/2024,67.8,47.5,33.8,43.0,37.0,32.0,95,71,29,8.9,1.4,0.0,30.24,30.08,0.00
17,Villaviciosa de Odón,2/18/2024,66.4,47.6,32.9,41.7,36.1,30.4,92,69,30,7.2,0.9,0.0,30.31,30.21,0.00
18,Villaviciosa de Odón,2/19/2024,68.9,51.4,36.1,48.7,41.9,33.8,93,72,45,7.4,1.0,0.0,30.27,30.13,0.00
19,Villaviciosa de Odón,2/20/2024,67.5,50.4,33.6,44.8,37.5,30.9,91,65,36,10.3,1.4,0.0,30.20,30.07,0.00
20,Villaviciosa de Odón,2/21/2024,60.4,49.2,34.2,47.3,40.7,32.0,94,74,50,8.9,1.6,0.0,30.11,29.93,0.00
21,Villaviciosa de Odón,2/22/2024,54.1,50.4,45.0,50.9,45.7,33.4,94,84,59,22.8,6.1,0.0,29.94,29.56,0.12
22,Villaviciosa de Odón,2/23/2024,50.7,43.7,35.4,40.1,34.4,29.7,87,70,49,21.9,7.3,0.0,29.67,29.57,0.01
23,Villaviciosa de Odón,2/24/2024,52.2,43.4,35.8,36.9,32.9,27.5,93,69,41,21.5,6.2,0.0,29.78,29.57,0.00
24,Villaviciosa de Odón,2/25/2024,56.1,49.1,42.3,49.3,45.2,36.7,95,87,73,24.6,8.5,0.2,29.77,29.47,0.00
25,Villaviciosa de Odón,2/26/2024,51.8,47.7,42.6,48.9,36.2,29.5,95,65,44,30.0,9.5,0.0,29.66,29.41,0.00
26,Villaviciosa de Odón,2/27/2024,52.5,44.4,35.1,31.5,27.9,21.7,67,53,40,21.9,7.1,0.0,29.91,29.66,0.00
27,Villaviciosa de Odón,2/28/2024,57.9,46.5,30.0,36.7,31.0,22.5,81,56,41,19.2,4.6,0.0,29.93,29.86,0.00
28,Villaviciosa de Odón,2/29/2024,59.4,44.5,30.0,42.4,33.1,25.5,92,67,39,26.2,6.0,0.0,29.91,29.72,0.00
0,Villaviciosa de Odón,1/1/2024,51.3,40.6,32.9,41.2,36.6,31.6,97,87,59,11.2,1.5,0.0,29.95,29.81,0.00
1,Villaviciosa de Odón,1/2/2024,49.1,40.9,34.0,48.6,39.4,32.9,98,94,84,7.4,0.8,0.0,29.96,29.85,0.01
2,Villaviciosa de Odón,1/3/2024,53.8,51.0,45.0,53.1,50.2,43.7,99,97,93,14.8,3.4,0.0,29.88,29.78,0.08
3,Villaviciosa de Odón,1/4/2024,50.5,47.9,44.6,49.8,47.4,43.7,99,98,96,8.1,1.1,0.0,29.86,29.57,0.20
4,Villaviciosa de Odón,1/5/2024,49.1,44.3,39.0,47.3,36.9,30.6,99,77,50,20.4,5.8,0.0,29.69,29.50,0.09
5,Villaviciosa de Odón,1/6/2024,48.4,42.7,37.9,34.0,32.0,30.0,75,66,53,19.9,5.8,0.0,29.90,29.68,0.00
6,Villaviciosa de Odón,1/7/2024,52.9,40.3,29.5,32.7,30.1,26.2,89,69,41,13.4,2.1,0.0,29.94,29.86,0.00
7,Villaviciosa de Odón,1/8/2024,46.8,35.3,24.3,34.7,28.9,22.1,94,79,53,8.1,1.2,0.0,29.92,29.81,0.00
8,Villaviciosa de Odón,1/9/2024,46.2,41.6,39.2,38.7,36.7,33.4,91,83,72,6.5,0.9,0.0,29.85,29.78,0.00
9,Villaviciosa de Odón,1/10/2024,45.9,42.1,39.7,42.3,39.6,37.4,96,91,84,10.7,2.6,0.0,29.86,29.77,0.01
10,Villaviciosa de Odón,1/11/2024,51.3,39.5,30.6,41.2,32.7,27.9,98,79,46,10.1,1.8,0.0,29.96,29.79,0.01
11,Villaviciosa de Odón,1/12/2024,46.8,36.2,27.1,32.4,28.1,23.9,89,73,50,9.6,1.7,0.0,30.04,29.94,0.00
12,Villaviciosa de Odón,1/13/2024,48.9,41.3,34.0,39.9,34.9,29.1,89,78,67,6.5,1.0,0.0,30.05,29.92,0.00
13,Villaviciosa de Odón,1/14/2024,49.5,44.2,39.0,47.7,41.6,36.3,94,90,82,11.2,1.4,0.0,29.93,29.78,0.09
14,Villaviciosa de Odón,1/15/2024,57.0,51.8,46.0,55.2,51.0,45.1,99,97,88,21.7,3.6,0.0,29.79,29.67,0.26
15,Villaviciosa de Odón,1/16/2024,59.2,55.4,52.3,54.9,51.5,44.8,97,87,65,15.9,5.2,0.0,29.72,29.54,0.01
16,Villaviciosa de Odón,1/17/2024,54.7,52.4,49.6,51.3,48.7,45.5,97,87,79,18.3,8.4,0.2,29.55,29.33,0.62
17,Villaviciosa de Odón,1/18/2024,58.1,52.4,50.2,50.5,48.8,47.5,94,88,73,18.3,6.6,0.0,29.61,29.50,0.00
18,Villaviciosa de Odón,1/19/2024,50.9,44.7,39.6,49.8,42.4,34.2,98,92,80,19.9,5.6,0.0,29.69,29.40,1.20
19,Villaviciosa de Odón,1/20/2024,54.9,40.7,29.7,42.1,34.3,28.6,96,80,43,9.6,1.2,0.0,30.15,29.68,0.00
20,Villaviciosa de Odón,1/21/2024,54.7,42.5,32.5,42.3,37.8,31.8,97,85,57,6.9,1.0,0.0,30.28,30.13,0.01
21,Villaviciosa de Odón,1/22/2024,53.8,39.8,31.1,45.5,37.5,30.4,98,92,71,5.1,0.7,0.0,30.35,30.26,0.00
22,Villaviciosa de Odón,1/23/2024,62.8,46.1,33.6,50.7,42.3,33.1,98,88,62,4.5,0.9,0.0,30.40,30.32,0.01
23,Villaviciosa de Odón,1/24/2024,70.5,50.0,36.9,53.1,44.5,36.3,98,84,50,5.1,0.7,0.0,30.40,30.30,0.01
24,Villaviciosa de Odón,1/25/2024,67.6,49.6,37.0,51.1,43.8,36.3,98,83,49,6.0,0.9,0.0,30.33,30.20,0.01
25,Villaviciosa de Odón,1/26/2024,71.6,50.7,38.7,48.6,42.2,36.9,96,77,37,4.9,0.8,0.0,30.25,30.15,0.00
26,Villaviciosa de Odón,1/27/2024,66.7,51.5,42.4,48.7,41.6,37.6,89,72,38,8.5,1.2,0.0,30.17,30.06,0.00
27,Villaviciosa de Odón,1/28/2024,65.7,49.8,38.3,47.1,41.5,36.0,93,75,44,6.9,1.4,0.0,30.11,30.04,0.00
28,Villaviciosa de Odón,1/29/2024,61.0,50.0,40.8,45.7,42.0,38.5,93,76,48,8.9,1.6,0.0,30.17,30.07,0.00
29,Villaviciosa de Odón,1/30/2024,59.7,46.0,36.5,46.6,41.0,35.2,96,84,59,6.0,0.9,0.0,30.23,30.14,0.00
30,Villaviciosa de Odón,1/31/2024,57.4,42.8,33.8,45.7,39.2,33.1,97,88,63,5.8,0.8,0.0,30.30,30.21,0.01
0,Fuente el Saz de Jarama,10/1/2024,83.1,65.4,50.5,53.8,47.1,42.3,75,54,31,6.0,0.6,0.0,30.15,30.01,0.00
1,Fuente el Saz de Jarama,10/2/2024,78.1,68.3,59.7,63.3,58.0,53.1,84,70,50,17.4,1.8,0.0,30.06,29.87,0.01
2,Fuente el Saz de Jarama,10/3/2024,76.5,66.9,59.5,60.6,50.7,41.9,78,58,31,17.7,3.6,0.0,30.04,29.91,0.00
3,Fuente el Saz de Jarama,10/4/2024,76.1,63.2,50.0,53.4,48.8,44.6,82,61,43,7.6,0.7,0.0,30.05,29.87,0.00
4,Fuente el Saz de Jarama,10/5/2024,79.7,64.3,48.2,60.8,52.5,44.6,89,67,45,17.2,1.2,0.0,29.94,29.84,0.00
5,Fuente el Saz de Jarama,10/6/2024,73.9,68.1,64.0,60.4,58.5,56.7,81,72,58,15.9,3.5,0.0,29.89,29.79,0.00
6,Fuente el Saz de Jarama,10/7/2024,73.9,62.8,56.8,59.7,56.0,51.6,96,79,47,19.5,2.3,0.0,29.81,29.63,0.19
7,Fuente el Saz de Jarama,10/8/2024,66.4,59.1,53.8,57.7,55.3,52.3,97,88,68,12.5,2.8,0.0,29.86,29.74,0.00
8,Fuente el Saz de Jarama,10/9/2024,67.6,61.7,56.8,64.8,57.3,51.1,98,86,65,16.3,4.3,0.0,29.81,29.52,0.27
9,Fuente el Saz de Jarama,10/10/2024,67.6,57.7,46.2,51.8,46.5,43.0,90,68,44,8.9,1.0,0.0,29.93,29.71,0.00
10,Fuente el Saz de Jarama,10/11/2024,67.1,56.8,43.0,55.4,47.3,40.3,91,72,50,12.8,1.0,0.0,29.96,29.84,0.00
11,Fuente el Saz de Jarama,10/12/2024,63.9,59.6,57.2,60.8,58.1,54.5,99,95,81,8.1,0.9,0.0,29.97,29.78,1.20
12,Fuente el Saz de Jarama,10/13/2024,73.6,63.2,53.8,61.2,57.2,53.2,99,82,57,5.6,0.6,0.0,30.05,29.96,0.00
13,Fuente el Saz de Jarama,10/14/2024,73.6,63.8,55.8,63.0,59.0,54.3,96,85,65,7.2,0.5,0.0,30.02,29.86,0.00
14,Fuente el Saz de Jarama,10/15/2024,68.9,63.8,60.1,62.6,59.8,57.9,95,87,75,17.0,3.5,0.0,29.88,29.72,0.40
15,Fuente el Saz de Jarama,10/16/2024,72.9,64.5,59.5,64.8,59.8,57.6,97,86,61,18.3,6.3,0.0,29.80,29.62,0.34
0,Fuente el Saz de Jarama,9/1/2024,89.8,76.6,68.5,69.1,64.2,57.6,90,68,36,11.9,1.7,0.0,30.00,29.90,0.00
1,Fuente el Saz de Jarama,9/2/2024,91.0,76.6,64.9,67.5,62.2,52.7,88,64,29,12.3,2.0,0.0,29.98,29.84,0.00
2,Fuente el Saz de Jarama,9/3/2024,88.3,74.1,66.9,66.7,62.8,56.5,85,70,35,9.8,1.8,0.0,30.03,29.95,0.00
3,Fuente el Saz de Jarama,9/4/2024,82.0,72.5,64.6,64.8,57.4,51.3,79,60,41,13.2,2.6,0.0,30.08,30.00,0.01
4,Fuente el Saz de Jarama,9/5/2024,81.9,67.9,54.0,53.8,51.2,48.7,83,58,35,7.2,1.3,0.0,30.07,29.77,0.00
5,Fuente el Saz de Jarama,9/6/2024,80.4,69.5,58.1,55.2,45.9,31.6,83,47,18,11.6,2.1,0.0,29.81,29.73,0.00
6,Fuente el Saz de Jarama,9/7/2024,80.2,66.3,48.0,46.8,39.9,34.2,67,40,23,11.2,1.8,0.0,29.97,29.80,0.00
7,Fuente el Saz de Jarama,9/8/2024,84.0,68.9,53.6,51.8,45.6,41.0,69,45,27,8.9,1.4,0.0,30.07,29.93,0.00
8,Fuente el Saz de Jarama,9/9/2024,87.4,69.7,52.2,51.4,46.2,41.9,74,46,25,7.4,0.8,0.0,30.19,30.06,0.00
9,Fuente el Saz de Jarama,9/10/2024,89.2,73.2,55.0,54.1,50.4,45.7,77,48,24,7.6,1.2,0.0,30.18,30.05,0.00
10,Fuente el Saz de Jarama,9/11/2024,86.9,73.2,60.6,49.6,44.7,36.5,55,39,18,12.1,1.8,0.0,30.14,30.05,0.00
11,Fuente el Saz de Jarama,9/12/2024,83.3,71.5,58.5,54.0,50.7,47.8,71,49,32,18.8,2.1,0.0,30.14,30.04,0.00
12,Fuente el Saz de Jarama,9/13/2024,75.2,64.0,53.2,53.2,44.3,39.0,73,51,29,15.2,3.6,0.0,30.26,30.13,0.00
13,Fuente el Saz de Jarama,9/14/2024,84.2,65.5,52.2,53.1,43.3,37.2,58,46,24,8.9,1.4,0.0,30.29,30.17,0.00
14,Fuente el Saz de Jarama,9/15/2024,90.0,70.3,50.5,45.7,40.1,27.1,72,39,16,7.2,1.0,0.0,30.22,30.09,0.00
15,Fuente el Saz de Jarama,9/16/2024,88.3,69.3,48.7,39.9,33.8,28.0,51,29,14,9.6,1.9,0.0,30.16,30.01,0.00
16,Fuente el Saz de Jarama,9/17/2024,83.7,68.8,57.4,46.8,41.9,36.9,56,39,22,14.5,1.6,0.0,30.09,29.90,0.00
17,Fuente el Saz de Jarama,9/18/2024,83.1,68.5,55.2,57.9,50.6,44.6,69,54,32,9.2,1.6,0.0,30.02,29.92,0.00
18,Fuente el Saz de Jarama,9/19/2024,71.1,63.5,57.0,60.1,56.4,52.3,97,78,62,12.1,1.6,0.0,30.05,29.98,0.19
19,Fuente el Saz de Jarama,9/20/2024,75.2,62.9,56.7,61.7,57.9,55.9,98,85,57,12.1,0.7,0.0,30.08,29.98,0.60
20,Fuente el Saz de Jarama,9/21/2024,76.3,66.4,60.4,64.0,59.6,54.5,99,81,52,13.9,1.8,0.0,30.02,29.93,0.04
21,Fuente el Saz de Jarama,9/22/2024,76.1,64.3,53.2,58.3,54.1,50.0,95,72,43,11.2,0.9,0.0,30.08,30.00,0.00
22,Fuente el Saz de Jarama,9/23/2024,77.2,65.3,54.1,54.0,51.0,47.1,90,63,37,12.5,1.4,0.0,30.09,29.98,0.00
23,Fuente el Saz de Jarama,9/24/2024,74.3,62.5,52.2,50.9,46.9,42.3,81,59,34,12.3,1.3,0.0,30.06,29.99,0.00
24,Fuente el Saz de Jarama,9/25/2024,72.1,65.1,60.1,63.7,57.2,50.2,88,76,63,10.5,2.3,0.0,30.07,29.99,0.00
25,Fuente el Saz de Jarama,9/26/2024,74.5,68.3,63.7,64.0,60.1,56.8,88,76,57,19.9,5.0,0.0,30.03,29.92,0.00
26,Fuente el Saz de Jarama,9/27/2024,73.2,62.4,51.1,59.7,46.5,36.9,90,60,33,21.5,2.7,0.0,30.21,30.00,0.00
27,Fuente el Saz de Jarama,9/28/2024,71.8,58.4,44.1,42.1,38.4,30.9,78,50,24,11.2,1.5,0.0,30.32,30.19,0.00
28,Fuente el Saz de Jarama,9/29/2024,77.0,60.5,45.1,49.3,42.3,39.0,81,55,30,11.6,1.0,0.0,30.31,30.20,0.00
29,Fuente el Saz de Jarama,9/30/2024,84.4,65.4,48.2,45.9,42.8,38.5,78,48,22,7.4,0.7,0.0,30.26,30.12,0.00
0,Fuente el Saz de Jarama,8/1/2024,101.1,84.6,64.8,53.2,46.8,35.6,52,30,11,12.1,1.7,0.0,29.96,29.83,0.00
1,Fuente el Saz de Jarama,8/2/2024,97.2,81.9,68.0,64.8,53.8,44.2,57,39,25,11.6,1.7,0.0,29.94,29.82,0.01
2,Fuente el Saz de Jarama,8/3/2024,98.4,82.7,67.1,60.1,56.3,50.5,68,44,24,8.9,1.6,0.0,29.98,29.86,0.00
3,Fuente el Saz de Jarama,8/4/2024,100.6,85.4,69.6,61.9,52.6,46.9,46,33,21,12.5,1.8,0.0,29.99,29.85,0.00
4,Fuente el Saz de Jarama,8/5/2024,101.7,87.0,71.2,60.6,51.1,44.6,46,31,16,13.6,1.9,0.0,29.93,29.79,0.00
5,Fuente el Saz de Jarama,8/6/2024,101.5,85.9,67.5,56.8,48.9,44.2,47,29,16,10.5,1.2,0.0,29.89,29.77,0.00
6,Fuente el Saz de Jarama,8/7/2024,101.3,85.5,68.5,60.3,50.8,43.5,53,33,16,10.3,1.3,0.0,29.90,29.81,0.00
7,Fuente el Saz de Jarama,8/8/2024,104.0,86.2,68.7,58.1,52.5,43.0,58,35,15,8.5,1.1,0.0,29.98,29.87,0.00
8,Fuente el Saz de Jarama,8/9/2024,105.4,87.3,70.2,59.5,53.4,45.0,58,34,17,9.8,1.2,0.0,30.10,29.89,0.00
9,Fuente el Saz de Jarama,8/10/2024,101.8,87.7,70.7,56.8,50.8,42.8,53,31,14,15.2,2.2,0.0,30.03,29.86,0.00
10,Fuente el Saz de Jarama,8/11/2024,101.1,86.4,68.7,58.1,51.5,46.8,47,32,18,11.2,2.1,0.0,29.94,29.75,0.00
11,Fuente el Saz de Jarama,8/12/2024,99.0,85.8,69.3,59.0,54.7,47.3,56,36,20,13.0,2.0,0.0,29.85,29.72,0.00
12,Fuente el Saz de Jarama,8/13/2024,91.0,80.2,69.4,61.7,56.7,49.6,60,45,26,13.0,2.6,0.0,29.82,29.71,0.00
13,Fuente el Saz de Jarama,8/14/2024,90.9,76.9,64.8,60.8,55.6,49.1,75,50,28,14.1,2.5,0.0,29.94,29.80,0.00
14,Fuente el Saz de Jarama,8/15/2024,90.5,73.6,57.4,53.8,49.2,45.0,69,46,23,13.0,2.5,0.0,29.98,29.88,0.00
15,Fuente el Saz de Jarama,8/16/2024,97.0,79.0,60.1,56.7,48.6,37.9,65,38,15,9.2,1.7,0.0,29.99,29.87,0.00
16,Fuente el Saz de Jarama,8/17/2024,98.4,81.7,64.8,56.1,48.6,43.0,50,33,17,12.1,1.9,0.0,29.97,29.81,0.00
17,Fuente el Saz de Jarama,8/18/2024,95.4,82.5,70.3,61.0,55.0,46.9,66,41,25,11.0,2.6,0.0,29.90,29.81,0.00
18,Fuente el Saz de Jarama,8/19/2024,97.3,80.0,62.2,56.1,50.4,46.6,60,37,23,9.2,1.9,0.0,29.92,29.79,0.00
19,Fuente el Saz de Jarama,8/20/2024,99.1,82.9,64.4,53.2,47.2,41.4,45,30,20,9.8,1.5,0.0,29.90,29.80,0.00
20,Fuente el Saz de Jarama,8/21/2024,98.6,82.8,69.4,61.3,55.7,47.3,63,42,20,10.1,2.3,0.0,29.97,29.81,0.00
21,Fuente el Saz de Jarama,8/22/2024,98.4,83.4,70.0,65.1,57.5,49.6,63,44,24,10.5,1.6,0.0,29.91,29.78,0.00
22,Fuente el Saz de Jarama,8/23/2024,99.3,81.8,64.2,64.2,51.4,43.5,55,37,20,20.6,1.8,0.0,29.91,29.79,0.00
23,Fuente el Saz de Jarama,8/24/2024,96.6,81.8,67.5,63.3,55.8,48.4,63,43,24,13.6,1.8,0.0,29.88,29.78,0.00
24,Fuente el Saz de Jarama,8/25/2024,95.9,80.8,67.8,63.7,57.5,48.0,70,48,24,14.8,2.3,0.0,29.96,29.83,0.00
25,Fuente el Saz de Jarama,8/26/2024,93.7,79.9,68.5,66.9,59.1,52.2,66,51,30,8.1,1.3,0.0,29.98,29.84,0.00
26,Fuente el Saz de Jarama,8/27/2024,96.6,81.9,66.6,66.7,54.7,48.0,65,41,23,11.0,1.6,0.0,29.92,29.79,0.00
27,Fuente el Saz de Jarama,8/28/2024,97.9,81.8,65.1,61.0,54.4,47.7,56,40,26,10.7,1.6,0.0,29.94,29.76,0.00
28,Fuente el Saz de Jarama,8/29/2024,86.7,75.6,66.6,69.4,65.8,59.5,96,73,40,16.3,3.2,0.0,30.07,29.93,0.43
29,Fuente el Saz de Jarama,8/30/2024,90.5,75.2,65.8,69.1,65.6,60.1,95,75,43,12.5,1.7,0.0,30.06,29.92,0.49
